PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4601782,2021-08-14T16:03:00Z,44.2284,-57.0806,30,1018.9,0,,,,,,,,,,,01112179999999999
4601782,2021-08-14T17:00:00Z,44.2254,-57.0804,20.8,1019.3,0,,,,,,,,,,,01111179999999999
4601782,2021-08-14T18:00:00Z,44.2198,-57.0720,20.74,1019,0,,,,,,,,,,,01111179999999999
4601782,2021-08-14T19:00:00Z,44.2146,-57.0692,20.69,1019,0,,,,,,,,,,,01111179999999999
4601782,2021-08-14T20:00:00Z,44.2076,-57.0678,20.62,1018.9,0,,,,,,,,,,,01111179999999999
4601782,2021-08-14T21:00:00Z,44.1998,-57.0650,20.7,1018.8,0,,,,,,,,,,,01111179999999999
4601782,2021-08-14T22:00:00Z,44.1922,-57.0644,20.62,1018.8,0,,,,,,,,,,,01111179999999999
4601782,2021-08-14T23:00:00Z,44.1858,-57.0668,20.72,1018.9,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T00:00:00Z,44.1820,-57.0690,,,0,3.6,3,0.03,0.03,20.7,0.5,213,15,-0.034,-0.078,01119971111171111
4601782,2021-08-15T00:00:00Z,44.1826,-57.0694,20.68,1019,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T01:00:00Z,44.1810,-57.0680,,,0,3.6,3,0.03,0.03,20.71,0.5,213,15,0.042,-0.017,01119971111171111
4601782,2021-08-15T01:00:00Z,44.1806,-57.0696,20.72,1019.3,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T02:00:00Z,44.1820,-57.0630,,,0,3.5,4.6,0.02,0.02,20.72,0.5,213,15,0.158,0.08,01119971111171111
4601782,2021-08-15T02:00:00Z,44.1816,-57.0654,20.69,1018.9,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T03:00:00Z,44.1850,-57.0560,,,0,3.5,4.6,0.02,0.02,20.8,0.5,213,15,0.211,0.076,01119971111171111
4601782,2021-08-15T03:00:00Z,44.1856,-57.0562,20.76,1018.6,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T04:00:00Z,44.1860,-57.0460,,,0,3.5,4.6,0.02,0.02,20.83,0.5,213,15,0.232,0.002,01119971111171111
4601782,2021-08-15T04:00:00Z,44.1872,-57.0460,20.85,1018.2,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T05:00:00Z,44.1830,-57.0350,,,0,3.7,4.8,0.01,0.02,20.81,0.5,213,15,0.255,-0.107,01119971111171111
4601782,2021-08-15T05:00:00Z,44.1856,-57.0346,20.8,1017.8,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T06:00:00Z,44.1790,-57.0230,,,0,3.7,4.8,0.01,0.02,20.79,0.5,213,15,0.23,-0.235,01119971111171111
4601782,2021-08-15T06:00:00Z,44.1800,-57.0226,20.83,1017.5,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T07:00:00Z,44.1710,-57.0140,,,0,3.7,4.8,0.01,0.02,20.69,0.5,213,15,0.177,-0.262,01119971111171111
4601782,2021-08-15T07:00:00Z,44.1714,-57.0142,20.74,1017.3,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T08:00:00Z,44.1620,-57.0070,,,0,5.5,3.4,0.02,0.03,20.6,0.5,213,15,0.111,-0.232,01119971111171111
4601782,2021-08-15T08:00:00Z,44.1634,-57.0068,20.64,1017.3,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T09:00:00Z,44.1570,-57.0050,,,0,5.5,3.4,0.02,0.03,20.55,0.5,213,15,0.033,-0.185,01119971111171111
4601782,2021-08-15T09:00:00Z,44.1562,-57.0040,20.55,1017.7,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T10:00:00Z,44.1510,-57.0050,,,0,5.4,3.3,0.02,0.03,20.55,0.5,213,15,-0.034,-0.154,01119971111171111
4601782,2021-08-15T10:00:00Z,44.1506,-57.0042,20.56,1017.7,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T11:00:00Z,44.1460,-57.0060,,,0,4.9,2.1,0.03,0.03,20.54,0.5,213,15,-0.044,-0.139,01119971111171111
4601782,2021-08-15T11:00:00Z,44.1460,-57.0070,20.54,1017.6,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T12:00:00Z,44.1410,-57.0070,,,0,4.9,2.1,0.03,0.03,20.53,0.5,213,15,0.011,-0.139,01119971111171111
4601782,2021-08-15T12:00:00Z,44.1422,-57.0076,20.54,1017.6,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T13:00:00Z,44.1380,-57.0060,,,0,4.9,2.1,0.03,0.03,20.69,0.5,213,15,0.055,-0.124,01119971111171111
4601782,2021-08-15T13:00:00Z,44.1374,-57.0064,20.52,1017.4,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T14:00:00Z,44.1340,-57.0010,,,0,5.1,2,0.03,0.02,21.02,0.5,213,15,0.089,-0.062,01119971111171111
4601782,2021-08-15T14:00:00Z,44.1342,-57.0032,20.86,1017.3,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T15:00:00Z,44.1320,-56.9970,,,0,5.1,2,0.03,0.02,21.28,0.5,213,15,0.133,-0.015,01119971111171111
4601782,2021-08-15T15:00:00Z,44.1330,-56.9976,21.19,1017,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T16:00:00Z,44.1320,-56.9910,,,0,5.1,2,0.03,0.02,21.4,0.5,213,15,0.155,0,01119971111171111
4601782,2021-08-15T16:00:00Z,44.1326,-56.9908,21.37,1016.7,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T17:00:00Z,44.1320,-56.9840,,,0,4.4,3.5,0.03,0.01,21.52,0.5,213,15,0.165,0,01119971111171111
4601782,2021-08-15T17:00:00Z,44.1328,-56.9844,21.44,1016.2,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T18:00:00Z,44.1310,-56.9740,,,0,4.4,3.5,0.03,0.01,21.61,0.5,213,15,0.2,-0.077,01119971111171111
4601782,2021-08-15T18:00:00Z,44.1326,-56.9756,21.61,1016,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T19:00:00Z,44.1270,-56.9660,,,0,4.4,3.5,0.03,0.01,21.7,0.5,213,15,0.21,-0.154,01119971111171111
4601782,2021-08-15T19:00:00Z,44.1276,-56.9660,21.6,1015.7,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T20:00:00Z,44.1230,-56.9580,,,0,4.9,1.6,0.03,0.02,21.72,0.5,213,15,0.177,-0.139,01119971111171111
4601782,2021-08-15T20:00:00Z,44.1228,-56.9570,21.8,1015.5,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T21:00:00Z,44.1180,-56.9500,,,0,4.8,1.6,0.03,0.02,21.63,0.5,213,15,0.155,-0.139,01119971111171111
4601782,2021-08-15T21:00:00Z,44.1190,-56.9496,21.63,1015.3,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T22:00:00Z,44.1130,-56.9440,,,0,4.8,1.6,0.03,0.02,21.63,0.5,213,15,0.133,-0.17,01119971111171111
4601782,2021-08-15T22:00:00Z,44.1136,-56.9434,21.62,1015.4,0,,,,,,,,,,,01111179999999999
4601782,2021-08-15T23:00:00Z,44.1080,-56.9370,,,0,3.5,-0.2,0.02,0.01,21.56,0.5,213,15,0.133,-0.17,01119971111171111
4601782,2021-08-15T23:00:00Z,44.1080,-56.9376,21.64,1015.5,0,,,,,,,,,,,01111179999999999
4601782,2021-08-16T00:00:00Z,44.1020,-56.9310,,,0,3.5,0,0.02,0.01,21.43,0.5,213,15,0.145,-0.184,01119971111171111
